Archipelago_name;NW_LAT;NW_LON;SE_LAT;SE_LON
Aldabra_Group;-9.154305;45.830988;-10.492114;48.218150
Ascension;-7.773450;-14.614380;-8.090515;-14.113950
Azores;40.208493;-32.251744;36.203986;-23.875366
Bermuda;32.923363;-65.876638;31.481459;-63.976401
Canaries;29.602366;-18.983643;27.452681;-13.278350
Cape_Verde;17.520579;-26.431966;14.178035;-21.153598
Chagos;-4.257620;69.887730;-8.003716;73.595116
Chatham;-43.470831;-177.552978;-44.611358;-175.481458
Christmas_Island;-10.281387;105.210303;-10.699040;105.924539
Cocos_Costa_Rica;5.633816;-87.235783;5.435653;-86.923311
Comoros;-11.021805;42.527101;-13.742743;46.010066
Fernando_Noronha;-3.643701;-32.693472;-4.014107;-32.204209
Galapagos;2.026658;-93.395291;-2.413689;-86.999144
Gough;-40.135956;-10.225196;-40.502057;-9.472340
Guadalupe;29.323515;-118.723852;28.713095;-117.803263
Guam_Marianas;15.854626;143.936373;12.662977;146.447457
Hawaii;28.754929;-178.960424;16.255794;-152.968590
Juan_Fernandez;-33.290426;-81.255497;-34.143774;-76.278895
Keeling_Cocos;-11.724743;96.450347;-12.498433;97.296837
Lord_Howe;-31.077306;158.374616;-32.341923;160.151985
Madeira;33.363667;-17.968270;31.937508;-15.498388
Marquesas;-6.756013;-142.955744;-11.716376;-136.417340
Mauritius_Island;-19.774386;56.562559;-21.050572;58.382092
New_Caledonia;-18.410410;161.992132;-23.310910;168.655704
Niue;-18.688667;-170.335815;-19.537703;-169.252994
Norfolk;-28.902850;167.756456;-29.199031;168.114941
Ogasawara;27.768040;141.899412;26.442663;142.511041
Palau;8.479175;133.651861;6.653433;135.084170
Pitcairn;-23.670058;-132.210873;-25.598068;-123.939914
Rapa_Nui;-26.769347;-109.743372;-27.502875;-108.696795
Reunion;-20.510670;54.555735;-21.816858;56.594212
Rodrigues;-19.481851;62.919020;-20.077509;63.923810
Saint_Helena;-15.764711;-6.069204;-16.185938;-5.421840
Samoa;-13.247181;-173.025201;-14.651907;-169.164072
SaoTome_Principe;1.964903;5.760905;-0.486869;7.903566
Selvagens;30.192418;-16.176286;29.959591;-15.739450
Seychelles_Inner;-3.006275;52.253418;-7.911469;57.591281
Society;-15.609433;-155.223302;-18.173561;-147.608461
Socorro;18.994525;-111.243717;18.599271;-110.747330
Tonga;-20.740128;-175.972660;-21.680075;-174.547815
Tristan_da_Cunha;-36.987684;-12.967218;-37.550008;-11.843431
