archipelagos_paleo_area;ka16_lambeck;ka16_cutler;;;;;;;;
Aldabra;966.586076;942.990252;;;;;;;;
Azores;4373.67195;4182.16365;;;;;;;;
Canaries;16907.67448;16409.4352;;;;;;;;
Cape_Verde;9032.682792;8746.47924;;;;;;;;
Comoros;4795.91669;4713.963798;;;;;;;;
Galapagos;18581.77181;11452.8192;;;;;;;;
SaoTome_Principe;2705.942208;2648.678112;;;;;;;;
Hawaii;32797.87738;32005.6388;;;;;;;;
Seychelles;392507.1555;391236.409;;;;;;;;
Juan_Fernandez;371.643888;338.8308;;;;;;;;
Madeira;1659.10668;1550.204964;;;;;;;;
Selvagens;38.005968;35.813316;;;;;;;;
Guam_Marianas;1481.1469;1434.37384;;;;;;;;
Marquesas;2544.635176;2416.263272;;;;;;;;
Mauritius_Island;2865.94269;2816.15607;;;;;;;;
Reunion;2816.95908;2797.68684;;;;;;;;
Rodrigues;1141.88022;1096.91166;;;;;;;;
Pitcairn;110.75077;108.410965;;;;;;;;
Society;3506.786432;3431.547544;;;;;;;;
Socorro;290.616244;281.711568;;;;;;;;
Samoa;9499.75785;4913.00608;;;;;;;;
Gough;138.819375;117.359375;;;;;;;;
Tristan_da_Cunha;219.965;209.905625;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
