"","age","model","seed","lambda_c0","y","mu_0","x","K_0","z","gamma_0","alpha","lambda_a0","beta","d_0","d0_col","d0_ana","loglik","df","conv","bic"
"1",1,"1",7,0.0243487932432051,0.25005735603134,1.89850856994173,0.145740045554781,1.24172604582185e-07,4.88052294913729,53.9452866334165,0.259272665157898,0.0456517755094846,0.419387708600426,NA,NA,NA,-3656.73438994609,10,0,7400.9251033461
"2",1,"2",21,0.0246507210469771,0.245233860047182,1.87535645259678,0.146972607268457,7.05874528295662e-09,5.76066528734137,51.4652529870976,0.254934987325927,0.723069012880071,0,NA,NA,NA,-3666.12336517459,9,0,7410.95742145771
"3",1,"3",31,0.0228337143570607,0.2531853916303,1.88014967493947,0.14748204963677,5890940.15585534,0,51.3295142453933,0.254645474487308,0.721443430486013,0,NA,NA,NA,-3666.55437192268,8,0,7403.07380260849
"4",1,"4",51,0.0220972543096495,0.256876992701644,1.87399736525491,0.147061585974634,Inf,0,51.4033864908104,0.254876684581092,0.722045277589588,0,NA,NA,NA,-3666.55251550503,7,0,7394.3244574278
"5",1,"5",62,0.49646528118326,1.62894287064937e-07,3.02789798496779,0.149791648638065,Inf,0,68.6059730037374,0.256322296919248,0,0,NA,NA,NA,-3750.73997786262,6,0,7553.95374979758
"6",1,"6",86,0.496438725065654,0,3.02729094083004,0.149780136842773,Inf,0,68.5087322062397,0.256123366141481,0,0,NA,NA,NA,-3750.7399599221,5,0,7545.20808157116
"7",1,"7",98,0.19530530729126,0,2.66434607280075,0.192319714798317,Inf,0,50.4440244496254,0.248368504355656,0.676122895051275,0,NA,NA,NA,-3673.64728887529,6,0,7399.76837182292
"8",1,"8",115,0.0246981992107363,0.243127083272445,1.8023607299316,0.143164673120484,Inf,0,9.1254184128442,0,0.719141410280374,0,NA,NA,NA,-3682.704860992,6,0,7417.88351605634
"9",1,"9",135,0.200914932296024,0,2.712402535388,0.192018590611535,Inf,0,52.1892672734213,0.250917808429791,0.0368394118149036,0.440755952916161,NA,NA,NA,-3664.43244141926,7,0,7390.08430925626
"10",1,"10",136,0.495893265175005,0,2.93699617652631,0.146361371524204,Inf,0,12.09863834714,0,0,0,NA,NA,NA,-3767.13667992595,4,0,7569.25588923347
"11",1,"11",163,0.193932539295476,0,2.56395739322135,0.188586792769756,Inf,0,9.35134668625411,0,0.676223062595907,0,NA,NA,NA,-3689.33273213462,5,0,7422.39362599619
"12",1,"12",179,0.00494750754469864,0.461490902810436,0.634304406002231,0,Inf,0,8.18387658729097,0,0.70286538324563,0,NA,NA,NA,-3705.87611346595,5,0,7455.48038865885
"13",1,"13",192,0.199600829918073,0,2.60977958479606,0.188213655003138,Inf,0,9.50684794588728,0,0.0387323368746259,0.433268038004588,NA,NA,NA,-3680.38034315169,6,0,7413.23448037574
"14",1,"14",207,0.0224594269148784,0.258648051284711,1.89967890023639,0.145939478769712,Inf,0,53.1694703224246,0.257241838378071,0.0448993921867508,0.421275572172696,NA,NA,NA,-3657.0601635312,8,0,7384.08538582552
"15",1,"15",215,0.00801273796301769,0.184968560768263,1.97599887703525,0.151694316376199,Inf,0,70.8863688671025,0.299705782971578,0.0573910204390906,0.386259399354345,0.233166430551753,NA,NA,-3651.99500400489,9,0,7382.70069911831
"16",1,"16",234,0.0393869700159961,2.35845359584664e-05,1.95535910857616,0.150389546304648,Inf,0,70.5638295880695,0.299218502436247,0.0571684367348532,0.386726807052801,0.0267993606321787,NA,NA,-3651.45678345675,9,0,7381.62425802202
"17",1,"17",247,0.0493359462737844,0.115630433186786,2.02646976541387,0.156055240141307,Inf,0,69.5357709003199,0.296959544358624,0.0543690834182659,0.394053141802791,43353.2731512044,NA,NA,-3649.82683702112,9,0,7378.36436515076
"18",1,"18",270,0.0468511459774165,0.123248276587144,2.00137742620673,0.154292251405819,Inf,0,67.9526341119788,0.29367137866522,0.0540676967054022,0.394821340713228,40847.0000785271,NA,NA,-3649.96464365993,9,0,7378.63997842838
"19",1,"19",275,0.039608758651928,0,1.96383953840069,0.15091947638928,Inf,0,70.4117749919323,0.29876178327346,0.0569679408428242,0.387276170901727,0.0267151182267159,NA,NA,-3651.45635555504,8,0,7372.87776987321
"20",1,"20",286,0.0245197687704391,0.249603616752785,1.90112541020142,0.145680256221372,5.09026803286156e-07,4.44783520628696,199.835516458092,0.285105959621371,0.0455600130459028,0.419703093598022,0.0222956641407043,NA,NA,-3656.9059667867,11,0,7410.01388937271
"21",1,"21",308,0.0245606945937633,0.250727400288328,1.88570268065449,0.1443630388843,4.20307488416949e-14,8.6912594414362,51.6330249156739,0.252606360146776,1.06187415202851,1.74832364709371,292.08054219047,NA,NA,-3655.70705673992,11,0,7407.61606927914
"22",1,"22",327,7.08096912931912,0.316248438814751,2.36136052341834,0.175344019652037,0.00380791778089432,1.71031879703402,75.507945068621,0.308044040640748,0.0619399685987806,0.372264102948089,79911010.0256479,NA,NA,-3654.87866165936,11,0,7405.95927911802
"23",1,"23",336,0.0262001775437724,0.242155334060101,1.80389340415794,0.139767981562354,7.2568472571579e-12,7.33235009559154,18.6018430041826,3.52815609920784e-09,1.0598703837834,1.68336436993413,NA,5649.51380763611,291.054332870897,-3672.27469983318,12,0,7449.49698781106
"24",1,"24",351,0.0224563912702486,0.254704544896187,1.89600844802867,0.14860900513398,Inf,0,392.757300398961,0.264892089503125,0.722315822184957,0,0.000659559851461941,NA,NA,-3666.60845639437,8,0,7403.18197155187
"25",1,"25",363,0.0210200912754301,0.267095925107169,1.8886345638923,0.144827055225119,Inf,0,53.6270682308066,0.258325943986506,1.0687994960373,1.68093281678692,296.721846224029,NA,NA,-3656.19515192531,9,0,7391.10099495914
"26",1,"26",383,8.46209298923451,0.341348498019815,2.45499882305801,0.181741953064901,Inf,0,70.152953018922,0.297710039248662,0.682637612394684,0,68022431.5931711,NA,NA,-3663.11289029922,8,0,7396.19083936157
"27",1,"27",395,0.0237890532130785,0.251926726173459,1.82042947574542,0.141146713433739,Inf,0,18.6037104208735,9.9961574155749e-09,1.0683813200721,1.61586024783197,NA,171.42830009845,297.013911138959,-3672.70568581854,10,0,7432.867695091
"28",1,"28",406,0.20021368931378,0,2.71809812002227,0.192546619948059,Inf,0,51.7489834348931,0.249799213960823,1.12913115978438,1.24986714230057,375.594023220256,NA,NA,-3664.21648431814,8,0,7398.39802739941
